section_code,program_code,batch_year,section_name,semester_number,size
BCE-F-23-A,BSCE,2023,A,7,45
BCE-F-23-B,BSCE,2023,B,7,45
BCE-F-24-A,BSCE,2024,A,5,45
BCE-F-24-B,BSCE,2024,B,5,45
BCE-F-25-A,BSCE,2025,A,3,45
BCE-F-25-B,BSCE,2025,B,3,45
BCE-F26-A,BSCE,2026,A,1,45
BCE-F-26-B,BSCE,2026,B,1,45
BSE-F-26-A,BSSE,2026,A,1,45
BSE-F-25-A,BSSE,2025,A,3,45
